AAL	American Airlines "American"
SWA	Southwest "Southwest" (Dallas, TX)
UAL	United "United"
DAL	Delta "Delta"
SKW	SkyWest "SkyWest" (St. George, UT)
RYR	Ryanair "Ryanair" (Ireland)
THY	Turkish Airlines "Turkair" (Turkey)
QTR	Qatar Airways "Qatari" (Doha)
BAW	British Airways "Speedbird" (United Kingdom)
JBU	JetBlue "JetBlue"
UAE	Emirates "Emirates"
EZY	easyJet "Easy" (United Kingdom)
ASA	Alaska Airlines "Alaska"
AFL	Aeroflot "Aeroflot" (Russian Federation)
DLH	Lufthansa "Lufthansa" (Germany)
AFR	Air France "Airfrance" (France)
JZA	Jazz Air "Jazz" (Canada)
RPA	Republic "Brickyard" (Indianapolis, Indiana)
ACA	Air Canada "Air Canada" (Canada)
CPA	Cathay Pacific "Cathay" (China)
SIA	Singapore Airlines "Singapore" (Singapore)
ENY	Envoy Air "Envoy" (Fort Worth, TX)
ASH	Mesa "Air Shuttle" (Phoenix, AZ)
GLO	Gol Transportes Aereos "GOL"
UPS	United Parcel Service "UPS"
EJA	NetJets Aviation "EXECJET" (Columbus, OH)
WJA	WestJet "WestJet" (Calgary, Alberta)
KAL	Korean Air Lines Co. "Koreanair" (Republic Of Korea)
KLM	KLM "KLM" (Netherlands)
NKS	Spirit "Spirit Wings" (Miramar, FL)
EDV	Endeavor Air "Endeavor" (Minneapolis, Minnesota)
ETD	Etihad Airways "ETIHAD" (Abu Dhabi)
CCA	Air China "Air China" (China)
TAM	LATAM Brasil "Tam" (Brazil)
IBE	Iberia "Iberia" (Espana)
WZZ	Wizz Air "WIZZ" (Hungary)
SVA	Saudia "Saudia" (Saudi Arabia)
FDX	FedEx "FedEx" (Memphis, TN)
THA	Thai Airways "Thai" (Thailand)
IGO	IndiGo "IFLY" (New Delhi)
CSN	China Southern Airlines "China Southern" (China)
JIA	PSA Airlines "Blue Streak" (Vandalia, OH)
QFA	Qantas "Qantas" (Australia)
AVA	Avianca "Avianca"
IBK	Norwegian Air International "NORTRANS" (Ireland)
ASQ	ExpressJet "Acey" (Atlanta, GA)
CES	China Eastern "China Eastern" (China)
SLI	Aeroméxico Connect "Costera"
FFT	Frontier "Frontier Flight" (Denver, CO)
AUA	Austrian Airlines "Austrian" (Austria)
SAS	SAS "Scandi" (Sweden)
AZU	Azul Brazilian Airlines "AZUL BLUEBIRD" (Barueri)
VOI	Volaris "VOLARIS" (Mexico City)
VLG	Vueling Airlines "Vueling" (Spain)
LOT	Lot - Polskie Linie Lotnicze "Pollot" (Pologne)
CMP	Copa Airlines "Copa"
NAX	Norwegian Air Shuttle "Nor Shuttle"
AAR	Asiana "Asiana" (Republic Of Korea)
FIN	Finnair "Finnair" (Finland)
TAP	Transportes Aereos Portugueses "Air Portugal" (Portugal)
HAL	Hawaiian Airlines "Hawaiian"
ANA	All Nippon "All Nippon" (Japan)
HVN	Vietnam Airlines "Viet Nam Airlines" (Vietnam)
PGT	Pegasus Airlines "Sunturk" (I)
SWR	Swiss "SWISS" (Suisse)
AZA	Alitalia "Alitalia" (Italie)
VOZ	Virgin Australia "Velocity" (Australia)
HOP	HOP! "Air Op" (France)
JAL	Japan Airlines "Japanair" (Japan)
ARG	Aerolineas Argentinas "Argentina" (Argentina)
CPZ	Compass Airlines "Compass" (Minneapolis, MN)
JST	Jetstar "Jetstar" (Australia)
PAL	Philippine Air Lines "Philippine"
AMX	AeroMéxico "Aeromexico" (Mexico)
EVA	EVA Air "Eva" (Taoyuan)
AIJ	Interjet "INTERJET" (Mexico City)
GIA	Garuda Indonesia "Indonesia"
ONE	Avianca Brazil "Ocean Air" (Sao Paulo, Brasil)
AEA	Air Europa "Europa" (Espana)
CHH	Hainan Airlines "Hainan" (Haikou)
ANZ	Air New Zealand "New Zealand" (New Zealand)
AIC	Air India "Airindia" (India)
CAL	China Airlines "DYNASTY" (Taiwan)
VIR	Virgin Atlantic "Virgin" (United Kingdom)
MAS	Malaysia Airlines "Malaysian" (Malaysia)
TOM	Thomson "TOMSON" (United Kingdom)
EIN	Aer Lingus "Shamrock" (Ireland)
AWI	Air Wisconsin "WISCONSIN" (Greenville, Wisconsin)
QXE	Horizon "Horizon Air" (Seattle, WA)
ABY	Air Arabia "ARABIA" (Sarjah)
AUI	Ukraine International "Ukraine International" (Ukraine)
CFG	Condor "Condor" (Germany)
ETH	Ethiopian Airlines "Ethiopian" (Ethiopia)
BEE	Flybe "Jersey" (Exeter)
SDM	Rossiya Airlines "Russia" (Russia)
WEN	WestJet Encore "Encore" (Calgary, Alberta)
EJM	Executive Jet Management "Jet Speed"
SWG	Sunwing "Sunwing" (Canada)
XAX	AirAsia X "XANADU" (Kuala Lumpur)
JJA	Jeju Air "JEJU AIR" (Jeju, Jeju-do)
